null,metric,observed,null_mean,null_sd,z,p_two_sided
ER,transitivity,0.12169312169312169,0.07454212632425705,0.018348415335147278,2.5697584509406988,0.013972055888223553
ER,avg_clustering,0.1531216931216931,0.07287604192104191,0.021569017698404264,3.7204128775223726,0.001996007984031936
ER,avg_path_length,2.869491525423729,2.811658299992583,0.0450311768193813,1.2842930057793762,0.17764471057884232
ER,diameter,5.0,5.668,0.6087011040470818,-1.097418742234336,0.8083832335329342
ER,modularity,0.4406291052751391,0.42185047402593423,0.01550960524528448,1.2107742880763712,0.22954091816367264
Configuration,transitivity,0.12169312169312169,0.060838045922960514,0.016919071854360004,3.596832987885146,0.001996007984031936
Configuration,avg_clustering,0.1531216931216931,0.06246558201058201,0.020916846139476277,4.334119518143616,0.001996007984031936
Configuration,avg_path_length,2.869491525423729,2.8933265536723165,0.049915861669227644,-0.47750409291805224,0.6846307385229541
Configuration,diameter,5.0,5.296,0.46563680618110626,-0.6356885797487261,1.0
Configuration,modularity,0.4406291052751391,0.44538939595089966,0.016947616524516835,-0.2808826048709685,0.8403193612774451
